Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item,Item ID,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Office Furnishings,Oxford,Small Pack,2747,Brian Grady,Corporate,Furniture,"GE 4 Foot Flourescent Tube, 40 Watt",11137,4/9/2018,7078,High,1540,East,978,4/10/2018,Express Air,Massachusetts,0.02,29,0.39,65,466,9,15
Chairs & Chairmats,Boston,Jumbo Drum,478,Michael Wiggins,Small Business,Furniture,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,10943,2/6/2018,7079,Medium,2129,East,979,2/7/2018,Delivery Truck,Massachusetts,0.01,44,0.78,-417,12296,57,281
Paper,Boston,Small Box,478,Michael Wiggins,Small Business,Office Supplies,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",11118,2/6/2018,7079,Medium,2129,East,980,2/8/2018,Regular Air,Massachusetts,0.03,18,0.37,-35,128,6,6
Office Furnishings,Los Angeles,Medium Box,3075,Joshua N. Milligan,Corporate,Furniture,Eldon Advantage® Foldable Chair Mats for Low Pile Carpets,10642,1/2/2020,7107,Not Specified,90061,West,985,1/2/2020,Regular Air,California,0.02,3,0.64,57,172,11,54
Paper,Los Angeles,Wrap Bag,3075,Joshua N. Milligan,Corporate,Office Supplies,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",11184,1/2/2020,7107,Not Specified,90061,West,986,1/4/2020,Regular Air,California,0.06,3,0.38,-34,113,5,38
Storage & Organization,Los Angeles,Small Box,3075,Joshua N. Milligan,Corporate,Office Supplies,Recycled Steel Personal File for Standard File Folders,10050,1/2/2020,7107,Not Specified,90061,West,987,1/3/2020,Regular Air,California,0.1,35,0.59,163,1887,5,55
Labels,Los Angeles,Small Box,553,Kristine Connolly,Corporate,Office Supplies,Avery 501,10868,7/19/2019,7142,Critical,90008,West,991,7/21/2019,Regular Air,California,0.06,49,0.38,57,181,1,4
Binders and Binder Accessories,Washington,Small Box,2867,Dana Teague,Corporate,Office Supplies,GBC DocuBind TL300 Electric Binding System,10548,1/6/2020,7203,High,20016,East,998,1/8/2020,Regular Air,District of Columbia,0.03,28,0.38,3719,24362,20,897
Telephones and Communication,Philadelphia,Small Box,2238,Alexandra Kumar,Corporate,Technology,T60,10440,5/27/2018,7335,Low,19120,East,1006,6/1/2018,Regular Air,Pennsylvania,0.01,62,0.56,1196,5309,5,96
Envelopes,New York City,Small Box,2189,Frank Cross,Corporate,Office Supplies,Brown Kraft Recycled Envelopes,11010,5/6/2017,7364,High,10177,East,1008,5/8/2017,Regular Air,New York,0.09,22,0.35,-49,382,12,17
Computer Peripherals,Charlotte,Small Pack,2882,Andrew Gonzalez,Consumer,Technology,"Maxell Pro 80 Minute CD-R, 10/Pack",10488,10/6/2018,7619,Not Specified,28206,South,1040,10/7/2018,Regular Air,North Carolina,0.02,14,0.45,-33,248,2,17
Appliances,Boston,Large Box,3011,Tammy Raynor,Corporate,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,10376,10/26/2017,7623,Critical,2113,East,1041,10/28/2017,Regular Air,Massachusetts,0.03,32,0.52,1282,9705,24,301
Computer Peripherals,Boston,Small Box,3011,Tammy Raynor,Corporate,Technology,US Robotics 56K V.92 Internal PCI Faxmodem,11229,10/26/2017,7623,Critical,2113,East,1042,10/28/2017,Regular Air,Massachusetts,0.06,67,0.45,17,3248,20,50
Paper,Boston,Small Box,3011,Tammy Raynor,Corporate,Office Supplies,Xerox 1941,10242,10/26/2017,7623,Critical,2113,East,1043,10/27/2017,Regular Air,Massachusetts,0.1,58,0.37,1184,5583,5,105
Chairs & Chairmats,Oxford,Jumbo Drum,181,Wesley Waller,Corporate,Furniture,Global Deluxe Office Fabric Chairs,10581,12/20/2020,7751,Not Specified,1540,East,1051,12/21/2020,Delivery Truck,Massachusetts,0.01,90,0.58,-768,9096,58,96
Pens & Art Supplies,Austin,Wrap Bag,117,Linda Weiss,Home Office,Office Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",11250,1/1/2017,7909,High,78745,Central,1074,1/2/2017,Regular Air,Texas,0.03,29,0.44,10,122,1,4
Binders and Binder Accessories,Washington,Small Box,1733,Nina Horne Kelly,Small Business,Office Supplies,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",11256,9/17/2018,8000,Low,20012,East,1084,9/19/2018,Regular Air,District of Columbia,0.08,18,0.39,-27,269,8,15
Binders and Binder Accessories,Washington,Small Box,1733,Nina Horne Kelly,Small Business,Office Supplies,Wilson Jones Turn Tabs Binder Tool for Ring Binders,10988,9/17/2018,8000,Low,20012,East,1085,9/19/2018,Regular Air,District of Columbia,0.04,2,0.39,-8,20,5,5
Paper,Seattle,Wrap Bag,640,Neal Wolfe,Consumer,Office Supplies,"Ampad® Evidence® Wirebond Steno Books, 6"" x 9""",11102,11/17/2018,8001,High,98119,West,1086,11/19/2018,Regular Air,Washington,0.1,51,0.38,-81,128,7,2
Storage & Organization,Seattle,Small Box,640,Neal Wolfe,Consumer,Office Supplies,Acco Perma® 3000 Stacking Storage Drawers,10012,11/17/2018,8001,High,98119,West,1087,11/19/2018,Regular Air,Washington,0.01,160,0.66,112,3608,5,21
Computer Peripherals,Boston,Small Pack,1488,Anthony Goodwin,Home Office,Technology,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",10962,5/1/2018,8131,Critical,2129,East,1106,5/1/2018,Regular Air,Massachusetts,0.01,35,0.5,191,1046,2,30
Paper,Los Angeles,Small Box,553,Kristine Connolly,Corporate,Office Supplies,Xerox 1922,10534,10/13/2017,8165,Low,90008,West,1115,10/22/2017,Regular Air,California,0.01,63,0.36,-180,330,7,5
Office Machines,Oxford,Jumbo Drum,949,Ernest Oh,Consumer,Technology,Epson DFX5000+ Dot Matrix Printer,10129,3/19/2020,8257,Low,1540,East,1127,3/19/2020,Delivery Truck,Massachusetts,0.05,5,0.57,-2561,7486,30,1501
Paper,Oxford,Small Box,949,Ernest Oh,Consumer,Office Supplies,Xerox 1910,10021,3/20/2017,8257,Low,1540,East,1128,3/24/2017,Regular Air,Massachusetts,0.02,18,0.37,374,881,5,48
Pens & Art Supplies,Oxford,Wrap Bag,949,Ernest Oh,Consumer,Office Supplies,Newell 320,10151,3/19/2020,8257,Low,1540,East,1129,3/26/2020,Regular Air,Massachusetts,0.03,5,0.58,-6,23,2,4
Computer Peripherals,Oxford,Small Pack,491,Toni Swanson,Consumer,Technology,"Imation 3.5 IBM Formatted Diskettes, 10/Box",11218,5/12/2020,8353,Medium,1540,East,1146,5/14/2020,Regular Air,Massachusetts,0.06,44,0.74,-37,371,2,8
Pens & Art Supplies,Oxford,Wrap Bag,491,Toni Swanson,Consumer,Office Supplies,Newell 343,10576,5/13/2017,8353,Medium,1540,East,1147,5/15/2017,Regular Air,Massachusetts,0.08,23,0.58,-2,67,1,3
Paper,Boston,Small Box,2498,Arlene Long,Small Business,Office Supplies,Xerox 1936,10825,9/27/2019,8419,Critical,2129,East,1156,9/29/2019,Express Air,Massachusetts,0.07,37,0.38,70,717,6,20
Paper,Boston,Small Box,2498,Arlene Long,Small Business,Office Supplies,Xerox 214,10911,9/27/2019,8419,Critical,2129,East,1157,9/28/2019,Regular Air,Massachusetts,0.1,47,0.37,-87,299,7,6
Storage & Organization,Boston,Large Box,2498,Arlene Long,Small Business,Office Supplies,Carina Double Wide Media Storage Towers in Natural & Black,10652,5/1/2020,8833,Low,2129,East,1205,5/5/2020,Regular Air,Massachusetts,0,52,0.81,-847,4341,35,81
Computer Peripherals,Irving,Small Box,698,Nelson Hensley,Corporate,Technology,Keytronic Designer 104- Key Black Keyboard,10229,4/5/2017,8994,Low,75061,Central,1225,4/7/2017,Regular Air,Texas,0.1,36,0.77,-580,1423,20,40
Rubber Bands,Washington,Wrap Bag,1193,Louis Parrish,Consumer,Office Supplies,Staples Vinyl Coated Paper Clips,10614,3/18/2019,9062,High,20016,East,1244,3/19/2019,Regular Air,District of Columbia,0.06,36,0.39,31,134,1,4
Office Furnishings,Washington,Small Pack,1193,Louis Parrish,Consumer,Furniture,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",11232,3/18/2019,9062,High,20016,East,1245,3/21/2019,Regular Air,District of Columbia,0.06,21,0.35,1193,2018,9,99
Binders and Binder Accessories,Oxford,Small Box,949,Ernest Oh,Consumer,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",10302,1/2/2017,9285,Critical,1540,East,1279,1/2/2017,Regular Air,Massachusetts,0.06,3,0.36,-19,125,3,41
Storage & Organization,Oxford,Large Box,699,Jenny Gold,Consumer,Office Supplies,Safco Industrial Wire Shelving,10826,12/4/2019,9344,Low,1540,East,1282,12/6/2019,Regular Air,Massachusetts,0.09,36,0,-506,3466,35,96
Telephones and Communication,Oxford,Small Box,699,Jenny Gold,Consumer,Technology,SC7868i,10053,12/4/2019,9344,Low,1540,East,1283,12/4/2019,Regular Air,Massachusetts,0.02,62,0.55,900,6897,9,126
Computer Peripherals,Washington,Small Box,3342,Paul Tate,Home Office,Technology,Adesso Programmable 142-Key Keyboard,11182,5/2/2020,9409,Critical,20006,East,1288,5/4/2020,Regular Air,District of Columbia,0.1,16,0.79,-391,2284,4,152
Binders and Binder Accessories,Washington,Small Box,2867,Dana Teague,Corporate,Office Supplies,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",11094,5/22/2020,9476,Not Specified,20016,East,1293,5/24/2020,Express Air,District of Columbia,0.08,13,0.37,-67,215,13,16
Labels,Boston,Small Box,898,Harriet Hodges,Small Business,Office Supplies,Round Specialty Laser Printer Labels,10168,7/25/2017,9606,Not Specified,2129,East,1311,7/25/2017,Regular Air,Massachusetts,0.02,47,0.38,263,594,0,13
Paper,Boston,Wrap Bag,898,Harriet Hodges,Small Business,Office Supplies,Array® Memo Cubes,10610,7/25/2017,9606,Not Specified,2129,East,1312,7/27/2017,Express Air,Massachusetts,0.07,44,0.36,37,229,2,5
Chairs & Chairmats,Washington,Jumbo Drum,1193,Louis Parrish,Small Business,Furniture,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,10949,3/15/2020,9894,High,20016,East,1358,3/17/2020,Delivery Truck,District of Columbia,0.08,16,0.64,104,5404,59,356
Pens & Art Supplies,Oxford,Wrap Bag,21,Tony Wilkins Winters,Small Business,Office Supplies,"Dixon My First Ticonderoga Pencil, #2",11154,4/18/2018,9895,Low,1540,East,1359,4/22/2018,Regular Air,Massachusetts,0.05,9,0.56,-7,55,2,6
Computer Peripherals,Boston,Small Box,1413,Pamela Wiley,Corporate,Technology,Fellowes 17-key keypad for PS/2 interface,10282,2/10/2018,10080,Low,2113,East,1390,2/17/2018,Regular Air,Massachusetts,0,20,0.75,-27,637,4,31
Office Furnishings,Chicago,Small Box,2920,Ernest Peele,Home Office,Furniture,"Seth Thomas 8 1/2"" Cubicle Clock",10144,8/5/2018,10081,Not Specified,60603,Central,1391,8/6/2018,Regular Air,Illinois,0.02,88,0.53,245,1901,7,20
Binders and Binder Accessories,Houston,Small Box,1630,Jimmy Han,Home Office,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,11009,10/7/2018,10147,High,77095,Central,1399,10/8/2018,Regular Air,Texas,0.04,40,0.35,-87,176,5,4
Paper,Boston,Small Box,1129,Pam Patton,Home Office,Office Supplies,Xerox 1952,11017,1/8/2018,10247,Medium,2118,East,1413,1/9/2018,Regular Air,Massachusetts,0.06,21,0.38,-85,112,5,5
Computer Peripherals,Boston,Small Pack,1129,Pam Patton,Home Office,Technology,"Memorex Slim 80 Minute CD-R, 10/Pack",10916,1/8/2018,10247,Medium,2118,East,1414,1/10/2018,Regular Air,Massachusetts,0.03,24,0.43,18,232,2,10
Telephones and Communication,Boston,Small Box,1413,Pamela Wiley,Corporate,Technology,g520,10150,4/5/2017,10277,Medium,2113,East,1417,4/6/2017,Regular Air,Massachusetts,0,36,0.59,542,2145,5,66
Paper,Charlotte,Small Box,2882,Andrew Gonzalez,Consumer,Office Supplies,Xerox 21,10976,6/23/2018,10373,Critical,28206,South,1439,6/25/2018,Regular Air,North Carolina,0.03,42,0.37,-95,290,7,6
Pens & Art Supplies,Seattle,Small Pack,1280,Harold Albright,Corporate,Office Supplies,Boston KS Multi-Size Manual Pencil Sharpener,10838,8/8/2018,10435,Medium,98119,West,1442,8/10/2018,Regular Air,Washington,0.06,68,0.57,-14,1559,9,23
Pens & Art Supplies,Seattle,Small Pack,1280,Harold Albright,Corporate,Office Supplies,"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",10945,8/7/2020,10435,Medium,98119,West,1443,8/8/2020,Regular Air,Washington,0.05,92,0.58,-162,1076,8,12
Paper,Oxford,Small Box,491,Toni Swanson,Consumer,Office Supplies,Xerox 1897,11014,8/8/2017,10464,Critical,1540,East,1450,8/9/2017,Regular Air,Massachusetts,0.01,41,0.36,-69,217,6,5
Office Furnishings,Miami,Small Box,1959,Bonnie Matthews Rowland,Corporate,Furniture,"Eldon® Expressions™ Wood Desk Accessories, Oak",11033,5/1/2020,10470,Critical,33916,South,1455,5/6/2020,Regular Air,Florida,0.1,46,0.56,-126,325,5,7
Tables,Oxford,Jumbo Box,3121,Bob Dickens,Home Office,Furniture,Bevis Round Conference Table Top & Single Column Base,10265,3/26/2020,10567,High,1540,East,1467,3/27/2020,Delivery Truck,Massachusetts,0.09,10,0.65,-146,1111,44,146
Computer Peripherals,Washington,Small Pack,894,Gail Rankin Cole,Corporate,Technology,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",11008,12/17/2020,10624,Critical,20024,East,1470,12/19/2020,Regular Air,District of Columbia,0.06,46,0.71,24,2165,4,48
Paper,New York City,Small Box,2382,Geoffrey Saunders,Small Business,Office Supplies,Xerox 1905,11061,8/22/2018,10819,Critical,10024,East,1497,8/22/2018,Regular Air,New York,0.06,63,0.37,-197,420,10,6
Storage & Organization,Los Angeles,Large Box,2842,Jason Hernandez,Corporate,Office Supplies,Tennsco Industrial Shelving,10748,3/25/2018,10919,High,90032,West,1511,3/25/2018,Regular Air,California,0.07,42,0.83,-1232,2041,35,49
Office Machines,New York City,Medium Box,2382,Geoffrey Saunders,Small Business,Technology,Canon P1-DHIII Palm Printing Calculator,11245,11/10/2019,10944,High,10024,East,1512,11/12/2019,Regular Air,New York,0,31,0.4,-27,626,9,18
Office Machines,Charlotte,Jumbo Box,272,Eleanor Swain,Small Business,Technology,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,10910,3/27/2020,10949,Medium,28204,South,1515,3/28/2020,Delivery Truck,North Carolina,0.1,46,0.4,169,3449,30,81
Binders and Binder Accessories,Houston,Small Box,3106,Alexander O'Brien,Home Office,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,10444,12/7/2020,10982,Not Specified,77041,Central,1522,12/8/2020,Regular Air,Texas,0.02,58,0.35,225,1077,1,19
Binders and Binder Accessories,Houston,Small Box,3106,Alexander O'Brien,Home Office,Office Supplies,GBC Therma-A-Bind 250T Electric Binding System,10837,12/7/2020,10982,Not Specified,77041,Central,1523,12/9/2020,Regular Air,Texas,0.05,60,0.37,1236,7331,20,123
Rubber Bands,Houston,Wrap Bag,3106,Alexander O'Brien,Home Office,Office Supplies,OIC Thumb-Tacks,10766,12/7/2020,10982,Not Specified,77041,Central,1524,12/9/2020,Express Air,Texas,0,28,0.38,3,42,1,1
Telephones and Communication,Washington,Small Box,2867,Dana Teague,Corporate,Technology,M70,11143,4/15/2017,11013,High,20016,East,1529,4/16/2017,Regular Air,District of Columbia,0.01,2,0.59,-583,227,9,126
Bookcases,Seattle,Jumbo Box,640,Neal Wolfe,Consumer,Furniture,Rush Hierlooms Collection Rich Wood Bookcases,10341,3/18/2017,11077,Low,98119,West,1539,3/22/2017,Delivery Truck,Washington,0.06,30,0.72,-230,4620,35,161
Computer Peripherals,Washington,Small Box,1193,Louis Parrish,Small Business,Technology,Zoom V.92 USB External Faxmodem,10544,12/26/2017,11206,Low,20016,East,1552,12/28/2017,Regular Air,District of Columbia,0.09,48,0.41,-17,2373,20,50
Binders and Binder Accessories,Washington,Small Box,1193,Louis Parrish,Small Business,Office Supplies,Lock-Up Easel 'Spel-Binder',10934,12/26/2017,11206,Low,20016,East,1553,1/1/2018,Regular Air,District of Columbia,0.03,11,0.38,40,326,1,29
Storage & Organization,Oxford,Small Box,2571,Rosemary O'Brien,Consumer,Office Supplies,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",10856,6/20/2019,11425,Critical,1540,East,1579,6/21/2019,Regular Air,Massachusetts,0.1,48,0.58,-17,799,6,17
Telephones and Communication,Oxford,Small Box,2571,Rosemary O'Brien,Consumer,Technology,CF 688,10520,6/20/2019,11425,Critical,1540,East,1580,6/22/2019,Express Air,Massachusetts,0.04,38,0.58,383,4906,9,156
Labels,Dallas,Small Box,563,Marjorie Pope,Home Office,Office Supplies,Avery 487,10099,8/22/2018,11460,High,75081,Central,1590,8/24/2018,Regular Air,Texas,0.09,54,0.38,38,184,1,4
Office Furnishings,Miami,Small Pack,349,Kim Weiss,Home Office,Furniture,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",11232,6/30/2017,11527,Medium,33132,South,1595,7/2/2017,Regular Air,Florida,0.04,54,0.35,1917,5556,9,99
Pens & Art Supplies,Philadelphia,Wrap Bag,1228,Hazel Jennings,Small Business,Office Supplies,Newell 329,10051,2/20/2019,11651,Medium,19140,East,1606,2/22/2019,Express Air,Pennsylvania,0.07,21,0.59,4,73,1,3
Telephones and Communication,Philadelphia,Small Box,1313,Katherine Knight,Corporate,Technology,i1000,10203,2/5/2020,11683,Not Specified,19134,East,1613,2/5/2020,Regular Air,Pennsylvania,0.03,28,0.58,335,1650,6,66
Pens & Art Supplies,Oxford,Wrap Bag,2491,Sean N Boyer,Consumer,Office Supplies,Newell 336,10799,4/24/2017,11712,Low,1540,East,1617,4/26/2017,Regular Air,Massachusetts,0.06,9,0.56,0,39,1,4
Paper,Boston,Wrap Bag,102,Caroline Johnston,Consumer,Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",10666,6/27/2018,11779,Not Specified,2129,East,1628,6/29/2018,Regular Air,Massachusetts,0.04,68,0.39,87,470,2,7
Computer Peripherals,Boston,Small Box,102,Caroline Johnston,Consumer,Technology,Micro Innovations 104 Keyboard,10463,6/27/2018,11779,Not Specified,2129,East,1629,6/28/2018,Regular Air,Massachusetts,0.09,65,0.64,-172,685,7,11
Tables,Oxford,Jumbo Box,3289,Emily Britt,Corporate,Furniture,"Iceberg OfficeWorks 42"" Round Tables",10951,7/28/2020,11808,Not Specified,1540,East,1633,7/29/2020,Delivery Truck,Massachusetts,0.06,1,0.75,25,148,39,151
Computer Peripherals,Oxford,Small Box,3289,Emily Britt,Corporate,Technology,"Fellowes Internet Keyboard, Platinum",10397,9/6/2020,11874,Medium,1540,East,1642,9/8/2020,Regular Air,Massachusetts,0,2,0.74,-82,81,9,30
Envelopes,Oxford,Small Box,3289,Emily Britt,Corporate,Office Supplies,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",10655,9/6/2020,11874,Medium,1540,East,1643,9/6/2020,Regular Air,Massachusetts,0.07,42,0.4,179,1629,10,40
Office Furnishings,Atlanta,Medium Box,1745,Herbert Holden,Home Office,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",10471,7/1/2019,11876,High,30305,South,1645,7/4/2019,Regular Air,Georgia,0.02,63,0.65,1145,6772,6,108
Pens & Art Supplies,Irving,Wrap Bag,698,Nelson Hensley,Corporate,Office Supplies,Avery Hi-Liter® Fluorescent Desk Style Markers,10349,3/14/2019,11968,Low,75061,Central,1659,3/14/2019,Regular Air,Texas,0.04,35,0.48,26,124,1,3
Chairs & Chairmats,Irving,Jumbo Drum,1402,Wesley Tate,Corporate,Furniture,"Global High-Back Leather Tilter, Burgundy",11166,12/22/2020,12129,Medium,75061,Central,1681,12/25/2020,Delivery Truck,Texas,0,72,0.74,-1198,9704,70,123
Tables,Atlanta,Jumbo Box,1745,Herbert Holden,Consumer,Furniture,Bevis 36 x 72 Conference Tables,10849,12/10/2017,12224,High,30305,South,1692,12/12/2017,Delivery Truck,Georgia,0.04,4,0.63,-248,606,52,124
Telephones and Communication,Atlanta,Wrap Bag,1745,Herbert Holden,Consumer,Technology,Accessory17,10523,12/10/2017,12224,High,30305,South,1693,12/10/2017,Regular Air,Georgia,0.1,54,0.82,-277,1569,5,36
Labels,Atlanta,Small Box,1745,Herbert Holden,Home Office,Office Supplies,Avery 49,10113,12/15/2020,12256,Medium,30305,South,1696,12/17/2020,Regular Air,Georgia,0.1,88,0.36,30,236,1,3
Tables,Oxford,Jumbo Box,3289,Emily Britt,Corporate,Furniture,Anderson Hickey Conga Table Tops & Accessories,10776,12/18/2019,12320,Critical,1540,East,1713,12/20/2019,Delivery Truck,Massachusetts,0.05,70,0.76,12,1078,28,15
Bookcases,Philadelphia,Jumbo Box,3079,Andrew Levine,Small Business,Furniture,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,10283,7/5/2017,12480,Medium,19112,East,1739,7/6/2017,Delivery Truck,Pennsylvania,0,10,0.78,-203,1484,32,137
Paper,Oxford,Wrap Bag,181,Wesley Waller,Small Business,Office Supplies,White GlueTop Scratch Pads,10854,3/17/2018,12643,Low,1540,East,1768,3/19/2018,Regular Air,Massachusetts,0.02,22,0.39,143,346,2,15
Labels,Los Angeles,Small Box,2670,Yvonne Mann,Home Office,Office Supplies,Avery 497,10335,5/22/2020,12804,Medium,90049,West,1788,5/25/2020,Regular Air,California,0,27,0.37,28,89,1,3
Rubber Bands,Los Angeles,Wrap Bag,2670,Yvonne Mann,Home Office,Office Supplies,Assorted Color Push Pins,10138,5/22/2020,12804,Medium,90049,West,1789,5/24/2020,Regular Air,California,0.08,65,0.52,-4,109,1,2
Storage & Organization,Los Angeles,Small Box,2670,Yvonne Mann,Home Office,Office Supplies,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",10169,5/22/2020,12804,Medium,90049,West,1790,5/24/2020,Express Air,California,0.02,44,0.59,-45,767,8,16
